skills,institution,degree_names,graduation_year,field_of_study,experience_company_names,experience_start_dates,experience_end_dates,experience_related_skills,experience_positions,experience_responsibilities,languages,langauge_proficiency_levels
"['C++', 'Python', '.Ney(VB, ASP)', 'CSS', 'Javascript', 'Visual Basic', 'Visual FoxPro', 'Analytical Process Improvement', 'Risk Assessment & Tracking', 'Data & Network Management', 'Scrum & Agile']",new york university,bachelor of science,2017,computer science,"['beckman coulter', 'blueocean biomedical', 'mathworks']","['2/2019', '1/2018', '5/2016']","['6/2020', '1/2019', '8/2016']","[None, None, None]","['Information Systems Assistant', 'IT Associate', 'Web Developer Intern']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Data Analytics', 'Natural Language Processing', 'Production Engineering', 'Production Analytics', 'Tableau', 'Machine Learning', 'Python', 'NLTK']",smv institute of technology,b.tech,2019,electrical and electronics,['mahindra ltd'],['2019'],['TILL DATE'],"[['Data Analytics', 'Production Engineering', 'Machine Learning']]",['Assistant Analyst'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
"['Machine Learning Engineer', 'C++', 'Technical Documentation', 'Natural Language Processing', 'SQL', 'Tableau', 'Python', 'AWS', 'Azure', 'SAP', 'OracleDB', 'Heroku']","kle college of engineering, belagavi",b.tech,2018,telecommunication,['voyagenius labs'],['Dec 2018'],['Ongoing'],"[['Machine Learning', 'Geocoding']]",['Software Developer (ML)'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,
"['Data Scientist', 'Machine Learning', 'Python', 'Big Data', 'SQL', 'PySpark', 'Scala', 'Hive', 'Scikit Learn', 'Pandas', 'Matplotlib', 'Natural Language Processing', 'Transformers', 'BERT']","lpu, chandigarh",b.tech,2019,ece,['neuratech'],['Mar 2019'],['till date'],[['BERT']],['Developer'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
"['Python', 'Visual Studio Code', 'Mercurial']",harvard university,b.s.,current,computer science,"['fortresms', 'travelbuddy']","['November 2022', 'January 2021']","['current', 'January 2022']","[['Python', 'Visual Studio Code'], ['Python']]","['Mobile App Developer', 'Front-End Developer']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Computer System Building and Repair', 'Hardware and Software Installation', 'Diagnostic Software Utilities', 'Remote Access', 'Networking', 'Computer Management', 'CNNs', 'LSTMs', 'PyTorch']",bob jones university,b.s.,2018,computer science,"['collins aerospace', 'aeronix inc.', 'netalytics']","['December 2020', 'November 2019', 'June 2018']","['current', 'December 2020', 'November 2019']","[['System and Network Procurement', 'Installation', 'Administration', 'Security', 'Troubleshooting', 'Machine Learning'], ['Deep Learning', 'Computer Vision', 'Algorithm Design', 'Machine Learning Models', 'Data Quality Evaluation'], ['Problem Analysis', 'Troubleshooting', 'System Tracking', 'Communication', 'Inventory Management']]","['Computer Scientist', 'Machine Learning Scientist', 'Entry-Level Computer Support Specialist']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Data Analysis', 'Machine Learning', 'Data Science', 'Statistical Analysis', 'Time Series Analysis', 'Statistical Modelling', 'Data Manipulation', 'Python', 'R', 'Tableau', 'SQL', 'Django', 'PostgreSQL']",nagpur university,b.tech,2019,electronics engineering,['amz loans and mortgages'],['Oct 2019'],[None],"[['Data Analysis', 'Pipelines', 'Automation']]",['Analyst'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",kcce university,b.tech,2019,computers,['elevate ltd.'],['Apr 2019'],['till date'],"[['Machine Learning', 'Natural Language Processing']]",['Machine Learning Developer'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement']",maulana malviya college for informatics,b.tech,2020,ece,['orchidia tours and travels'],['Apr 2020'],['Oct 2020'],"[['Natural language Processing', 'Customer analytics']]",['Data Managerial Intern'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
"['Business Analytics', 'Data Analysis', 'Machine Learning', 'SQL', 'Firebase', 'AWS', 'GCP', 'Cloud Infrastructure', 'Python', 'Text Mining', 'Database Management and Processing', 'Time Series Analysis', 'Research Analysis']",lucknow university,b.sc,2019,statistics,['e express'],['Aug 2020'],['Till Date'],[['big data analytics']],['Associate Data Scientist'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
"['Business Associate', 'Program Management', 'Presales', 'Artificial Intelligence', 'Data Analytics', 'Telecommunication', 'Machine Learning', 'Cloud', 'M&E', 'Conversational AI', 'Predictive Analytics', 'Sales', 'Business Development', 'NLP', 'RFP', 'Computer Vision']",sppu,b.tech,2018,computers,['tech mahindra'],['May 2019'],['Till Date'],"[['Presales', 'Solutions', 'Marketing', 'AI', 'D&A']]",['Business Associate'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,
"['Deep learning', 'Python', 'SQL', 'Keras', 'PyTorch', 'PySpark', 'Data Science', 'Data Analysis', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Computer Vision', 'Pattern Recognition', 'NLP', 'OpenCV', 'Image Processing']","indian institute of technology (iit), kharagpur",dual degree (b.tech + m.tech)(chemical),2019,chemical,['innoplexus'],['Nov 2019'],['Till Date'],"[['Computer Vision', 'NLP', 'Deep Learning', 'Image Processing']]",['Data Scientist'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"['Data Science', 'Logistic Regression', 'Clustering', 'Data Structures', 'Software Engineer', 'Data Analytics', 'Machine Learning', 'Visual Studio', 'Statistical Analysis', 'Linux', 'Unix', 'Python', 'Software Developer']",university of mangalore,bsc (it),2019,information technology,['systemica consultants'],['Apr 2019'],['Till date'],"[['Dashboards', 'Analytical Front-ends', 'Machine Learning', 'Statistical Modeling', 'Data Management']]",['SDE'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,
"['Business Analysis', 'Machine Learning', 'Requirement Gathering', 'Data Analysis', 'Artificial Intelligence', 'Predictive Modeling', 'Deep Learning', 'Data Modeling', 'Manual Testing', 'Quality Assurance', 'Python', 'R', 'SQL', 'HTML', 'Numpy', 'Tensorflow']","indian institute of technology (iit), mumbai",b.tech,2020,mechanical,['loyalty rewards management. pvt. ltd.'],['Aug 2020'],['Till Date'],"[['Business Analysis', 'Data Analysis', 'Designing', 'Predictive Modeling']]",['Business Analyst'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"['Python', 'Webscrapping', 'PowerBI', 'Data Cleaning', 'Data Preparation', 'Data Analysis', 'Predictive Modeling', 'Data Analytics', 'Pivot Table', 'SQL', 'PostgreSQL', 'Analytics', 'Excel', 'Machine Learning', 'XML']",mumbai university,bachelor of science,2020,statistics,['dell technologies'],['Jul 2019'],['Sep 2020'],[['Creating dashboards for sales and profits']],['Junior Analyst'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,
"['Requirement Analysis', 'Machine Learning', 'Predictive Analytics', 'Python', 'Tableau', 'PowerBI', 'R', 'SQL', 'Advanced Excel', 'Business Analytics']",sri venkateshwara university (svu),b.ca,2020,computer applications,['cdx infotech'],['August 2019'],['January 2020'],"[['Python', 'SQL', 'Tableau', 'Power BI']]",['BU Analyst Intern'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,
"['iFixit Pro Tech Toolkit', 'PassMark MemTest86', 'Malwarebytes', 'Recuva', 'Ultimate Boot CD (UBCD)', 'Windows Installation USB/DVD', 'TeamViewer', 'Driver Booster', 'Falcon Dust-Off Compressed Gas Duster', 'Fluke 115 Compact True-RMS Digital Multimeter']",devry university,associate of applied science,2018,electronics and computer technology,"['yza technologies', 'sherwin-williams', 'ohiohealth']","['2022', '2020', '2018']","['current', '2022', '2020']","[['iFixit Pro Tech Toolkit', 'Fluke 115 Compact True-RMS Digital Multimeter', 'Windows Installation USB/DVD', 'Recuva'], ['Driver Booster', 'PassMark MemTest86', 'Falcon Dust-Off Compressed Gas Duster', 'Ultimate Boot CD (UBCD)'], ['TeamViewer', 'iFixit Pro Tech Toolkit', 'Malwarebytes']]","['Computer Repair Technician', 'Computer Technician', 'Help Desk Technician']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Snowflake', 'Python', 'C++', 'R', 'SQL', 'Tableau', 'PyTorch']",university of british columbia,b.s.,2013,engineering,"['abcellera', 'microsoft', 'swiss re']","['July 2014', 'January 2012', 'May 2012']","['current', 'June 2014', 'May 2014']","[['Computer Vision', 'Machine Learning', 'Data Collection', 'KPI Reports'], ['Predictive Modeling', 'Data Analysis', 'Algorithm Development', 'Data Visualization'], ['Data Science', 'Algorithm Development', 'Strategic Insights', 'Business Communication']]","['Computer Vision Scientist', 'IT Data Scientist', 'Associate Data Scientist']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
"['Business Analysis', 'Machine Learning', 'Requirement Gathering', 'Data Analysis', 'Artificial Intelligence', 'Predictive Modeling', 'Deep Learning', 'Data Modeling', 'Manual Testing', 'Quality Assurance', 'Python', 'R', 'SQL', 'HTML', 'Numpy', 'Tensorflow']","indian institute of technology (iit), mumbai",b.tech,2020,mechanical,['loyalty rewards management. pvt. ltd.'],['Aug 2020'],['Till Date'],"[['Business Analysis', 'Data Analysis', 'Designing', 'Predictive Modeling']]",['Business Analyst'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Python', 'SQL', 'Docker', 'Spacy', 'Numpy', 'Pandas', 'TensorFlow']","birla institute of technology and science (bits), pilani",integrated b.e. and m.sc hons.,2020,hons. mechanical engineering,['kruzr'],['Dec 2019'],['August 2020'],"[['Machine Learning', 'IoT', 'Productionizing ML models']]",['Machine Learning Engineer Intern'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,
"['Machine Learning', 'Software Development', 'Text Analysis', 'Natural Language Processing', 'Image Processing', 'Python', 'Data Management', 'Scikit Learn', 'C', 'C#', '.NET', 'SQL']",punjab technical university,b.tech,2020,computer science,['hs institute'],['May 2019'],['Oct 2019'],"[['Data Management', 'Machine Learning']]",['Trainee'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,
"['Machine Learning Engineer', 'Data Processing', 'Data Modelling', 'Data Structures', 'Deep Learning', 'Application Development', 'Python', 'Django', 'Flask', 'Kubernetes', 'C++']","shri guru gobind singhji college of engineering and technology, naned",b.tech,2019,computers,"['tata consultancy services ltd.', 'nanyang technological university']","['SEP 2019', 'SEP 2018']","['TILL DATE', None]","[['Algorithm engineer', 'solution developer'], ['Developed positioning system']]","['MACHINE LEARNING ENGINEER', 'RESEARCH ASSISTANT']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,
"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']","raja birsimbal college, ranchi",b.tech,2019,cse,['tml infotech'],['Mar 2019'],['till date'],"[['Machine learning', 'Deep Learning', 'Data Science']]",['Junior Machine Learning And Deep Learning Engineer'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
"['Machine Learning', 'Deep learning', 'Logistic Regression', 'k-means clustering', 'LSTM', 'Emperical Modelling']",inderprastha engineering college ghaziabad,b.tech(computers),2020,computers,['absolutdata research & analytics'],['Jan 2020'],['Till Date'],"[['Machine Learning', 'Empirical Mode Decomposition', 'LSTM']]",['Machine Learning Intern'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
"['Machine Learning', 'Data Analytics', 'Data Manipulation', 'Data Mining', 'Deep Learning', 'Algorithms', 'Selenium', 'Jenkins', 'Python', 'Java', 'SQL', 'Quality Control']","national institute of science and technology, rourkela",b.tech,2019,information technology,['dass systems'],['Jan 2020'],['Ongoing'],"[['Testing', 'Debugging', 'Parameter Tuning']]",['Junior Machine Learning Engineer'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,
"['Statistical Analysis', 'C', 'OpenCV', 'Deep Learning', 'Computer Vision', 'R', 'Exploratory Data Analysis', 'Linear Regression', 'Logistic Regression', 'Risk Analyst', 'Machine Learning', 'Financial Risk Management']","dbb university, himachal",b.tech,2020,it,['hsbc bank'],['Apr 2020'],['till Date'],"[['Data Analysis', 'Financial Services', 'Fiat Currency Stabilities']]",['Data Analyst'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,
"['Python', 'LeetCode', 'GDB', 'GitHub', 'HTML', 'MySQL', 'Lucidchart', 'Postman', 'OWASP ZAP', 'Jira']",university of texas,bachelor of science,2015,computer science,"['charles schwab', 'sysco', 'accenture']","['2020', '2017', '2015']","['current', '2020', '2017']","[['Python', 'GDB', 'GitHub'], ['PowerShell'], ['OWASP ZAP', 'Jira']]","['Computer Programmer', 'Systems Administrator', 'Help Desk Technician']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,
"['Python', 'Webscrapping', 'PowerBI', 'Data Cleaning', 'Data Preparation', 'Data Analysis', 'Predictive Modeling', 'Data Analytics', 'Pivot Table', 'SQL', 'PostgreSQL', 'Analytics', 'Excel', 'Machine Learning', 'XML']",mumbai university,bachelor of science,2020,statistics,['dell technologies'],['Jul 2019'],['Sep 2020'],[['Creating dashboards for sales and profits']],['Junior Analyst'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,
"['Artificial Intelligence', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow Keras', 'Scikit learn', 'Numpy', 'Pandas', 'Matplotlib']","iiit d&m kancheepuram, chennai",b.tech(it),2019,information technology,['larsen & toubro'],['Dec 2019'],['Till Date'],"[['OCR', 'Machine Learning']]",['Analyst Intern'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
"['Snowflake', 'Python', 'C++', 'R', 'SQL', 'Tableau', 'PyTorch']",university of british columbia,b.s.,2013,engineering,"['abcellera', 'microsoft', 'swiss re']","['July 2014', 'January 2012', 'May 2012']","['current', 'June 2014', 'May 2014']","[['Computer Vision', 'Machine Learning', 'Data Collection', 'KPI Reports'], ['Predictive Modeling', 'Data Analysis', 'Algorithm Development', 'Data Visualization'], ['Data Science', 'Algorithm Development', 'Strategic Insights', 'Business Communication']]","['Computer Vision Scientist', 'IT Data Scientist', 'Associate Data Scientist']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"['Data Analysis', 'Data Mining', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence']",jaipur university,b.tech,2018,cse,"['empryean data consultant', 'oclosia']","['Jan 2019', 'May 2018']","['Apr 2020', 'Nov 2018']","[['NLP', 'Linear Dirichlet Allocation'], ['SQL', 'AWS Redshift']]","['N/A', 'Data Consultant']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,
"['Software Engineer', 'Data Analyst', 'Machine Learning', 'Text Analytics', 'Software Development', 'Object Oriented Programming', 'Pandas', 'Numpy', 'Java', 'Python', 'SpringBoot', 'Laravel']",dr. jagjiban rao engineering college,b.tech,2019,ece,['klp technology solutions'],['Jan 2019'],['till date'],"[['Machine Learning', 'Software Engineering', 'Feature Engineering', 'Evaluation Methods']]",['Software Engineer'],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,
